"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT4G28780.1",0,0,0,0,0,0,0.044,0.0477,0.784625,0.940394,0.991896
"AT3G01060.1",0,0,1,0,0,0,0.043,0.0477,0.784625,0.940394,0.991896
"AT3G07950.1",1,0,0,0,0,0,0.01,0.0116,0.784627,0.934221,0.998535
"AT4G29680.1",1,2,0,0,2,0,0.035,0.048,0.784639,0.940394,0.991896
"AT5G64570.1",1,1,0,0,0,0,0.01,0.0111,0.784649,0.934221,0.998535
"AT1G05560.1",0,0,1,0,1,0,0.01,0.0107,0.784667,0.934221,0.998535
"AT4G34870.1",27,20,16,30,17,17,0.008,0.0487,0.784669,0.940394,0.991896
"AT1G65440.1",0,0,0,0,1,0,0.009,0.0106,0.784672,0.934221,0.998535
"AT5G10240.1",0,0,0,0,0,0,0.009,0.0106,0.784672,0.934221,0.998535
"AT1G53120.1",1,1,0,0,0,0,0.01,0.0105,0.784676,0.934221,0.998535
"AT4G22670.1",0,1,0,1,1,0,0.044,0.0489,0.784679,0.94077,0.99152
"AT4G32720.1",1,0,1,0,1,1,0.009,0.0104,0.784681,0.934221,0.998535
"AT3G01290.1",0,0,0,0,0,0,0.009,0.0103,0.784685,0.934221,0.998535
"AT5G11520.1",0,0,0,0,1,0,0.044,0.0494,0.784704,0.94077,0.99152
"AT5G48810.1",10,10,11,13,10,8,0.003,0.0098,0.78471,0.933873,0.99894
"AT1G43690.1",2,2,1,0,2,2,0.034,0.05,0.784733,0.94077,0.99152
"AT5G55710.1",0,1,0,5,5,2,1.552,2.1736,0.784741,0.255695,0.996691
"AT4G33680.1",16,33,20,12,33,25,0.009,0.0502,0.784743,0.94077,0.99152
"AT3G51510.1",0,0,0,0,1,0,0.043,0.0503,0.784748,0.94077,0.99152
"AT1G62020.1",2,10,0,1,11,0,0.019,0.0504,0.784753,0.94077,0.99152
"AT3G29200.1",0,0,0,0,0,0,0.008,0.0087,0.784766,0.933873,0.99894
"AT1G14710.1",0,0,1,0,0,0,0.007,0.0087,0.784766,0.933873,0.99894
"AT4G38350.1",4,7,7,9,6,3,0.018,0.0507,0.784768,0.94077,0.991521
